# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,5.593872070312500347e-03,4.965094921171946454e-09
2.000000000000000000e+04,1.068862915039062514e-02,7.763073912954743742e-09
3.000000000000000000e+04,1.546630859375000208e-02,1.024049320426298225e-08
4.000000000000000000e+04,2.066665649414062625e-02,1.325908891767452038e-08
5.000000000000000000e+04,2.541687011718750042e-02,1.561669206069003763e-08
6.000000000000000000e+04,2.974151611328125153e-02,1.784183011826104996e-08
7.000000000000000000e+04,3.425903320312499722e-02,2.024517020362320820e-08
8.000000000000000000e+04,3.873794555664063222e-02,2.233522629520597764e-08
9.000000000000000000e+04,4.299835205078125083e-02,2.436938017583224763e-08
1.000000000000000000e+05,4.704772949218749556e-02,2.629160720111549141e-08
2.000000000000000000e+05,8.495544433593749112e-02,4.284271562650975945e-08
3.000000000000000000e+05,1.159033203124999883e-01,5.334293640733437510e-08
4.000000000000000000e+05,1.424615478515625089e-01,6.066283891297107402e-08
5.000000000000000000e+05,1.642498779296875100e-01,6.509172009732151961e-08
6.000000000000000000e+05,1.836981201171875022e-01,6.810704387758310903e-08
7.000000000000000000e+05,2.004765319824218794e-01,6.952236216479651504e-08
8.000000000000000000e+05,2.143754577636718950e-01,7.000216650653869952e-08
9.000000000000000000e+05,2.279196166992187578e-01,7.032768403803336555e-08
1.000000000000000000e+06,2.388298034667968861e-01,6.979398728914258650e-08
1.100000000000000000e+06,2.488088989257812300e-01,6.862283883852364079e-08
1.200000000000000000e+06,2.578367614746093772e-01,6.769176532430607485e-08
1.300000000000000000e+06,2.659187316894531250e-01,6.638849726942142239e-08
1.400000000000000000e+06,2.738964843750000266e-01,6.550834935700353116e-08
1.500000000000000000e+06,2.806774902343749933e-01,6.432333002223961002e-08
1.600000000000000000e+06,2.859912109375000178e-01,6.259352920408697368e-08
1.700000000000000000e+06,2.931721496582031516e-01,6.162303328994652062e-08
1.800000000000000000e+06,2.984385681152343928e-01,6.052491301167213690e-08
1.900000000000000000e+06,3.055087280273437456e-01,6.013583983521793771e-08
2.000000000000000000e+06,3.098255920410156183e-01,5.864665093637911735e-08
2.200000000000000000e+06,3.211355590820312855e-01,5.698933455829253353e-08
2.400000000000000000e+06,3.273731994628905628e-01,5.432050746314508097e-08
2.600000000000000000e+06,3.353785705566406095e-01,5.238509422824839244e-08
3.000000000000000000e+06,3.488598632812500155e-01,4.916618335899356063e-08
4.000000000000000000e+06,3.674060058593749956e-01,4.098164182368134476e-08
5.000000000000000000e+06,3.800930786132812322e-01,3.499416551703603654e-08
6.000000000000000000e+06,3.901445007324219061e-01,3.066500438776213254e-08
7.000000000000000000e+06,3.970332336425781428e-01,2.715516617989464465e-08
8.000000000000000000e+06,4.035498046875000133e-01,2.448227938753001422e-08
9.000000000000000000e+06,4.078814697265624734e-01,2.221661570911301037e-08
1.000000000000000000e+07,4.094218444824218595e-01,2.019961677734057081e-08
