# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,3.011322021484375347e-03,1.250676018823898806e-09
2.000000000000000000e+04,5.624389648437500347e-03,2.057125232117300256e-09
3.000000000000000000e+04,8.058929443359376388e-03,2.675297888019617908e-09
4.000000000000000000e+04,1.067687988281250389e-02,3.547694205594078836e-09
5.000000000000000000e+04,1.301895141601562556e-02,4.192428663633758516e-09
6.000000000000000000e+04,1.580139160156250264e-02,5.127071124335428315e-09
7.000000000000000000e+04,1.815307617187500444e-02,5.794050005479832363e-09
8.000000000000000000e+04,2.032028198242187556e-02,6.341764332987341568e-09
9.000000000000000000e+04,2.266708374023437833e-02,7.023597666677402613e-09
1.000000000000000000e+05,2.451980590820312597e-02,7.458638945104689588e-09
2.000000000000000000e+05,4.439468383789062222e-02,1.219659238312695056e-08
3.000000000000000000e+05,6.138885498046874750e-02,1.558766064692544796e-08
4.000000000000000000e+05,7.558181762695312389e-02,1.764637636287989169e-08
5.000000000000000000e+05,8.688461303710937056e-02,1.874364308522359230e-08
6.000000000000000000e+05,9.740493774414062111e-02,1.969073319875358614e-08
7.000000000000000000e+05,1.068356323242187489e-01,2.036036389297903674e-08
8.000000000000000000e+05,1.146104431152343839e-01,2.043395492249164640e-08
9.000000000000000000e+05,1.228768920898437589e-01,2.094058189626100080e-08
1.000000000000000000e+06,1.292616271972656383e-01,2.103913873564153858e-08
1.100000000000000000e+06,1.326091003417968761e-01,2.015785500175912631e-08
1.200000000000000000e+06,1.386090087890625155e-01,2.021738656404309649e-08
1.300000000000000000e+06,1.441656494140625133e-01,2.015002358595692101e-08
1.400000000000000000e+06,1.485913085937499989e-01,1.992158175244160506e-08
1.500000000000000000e+06,1.524281311035156350e-01,1.961731098795478396e-08
1.600000000000000000e+06,1.563587951660156405e-01,1.939655689074752588e-08
1.700000000000000000e+06,1.591043090820312422e-01,1.893752476331264192e-08
1.800000000000000000e+06,1.616833496093750266e-01,1.849083530158672636e-08
1.900000000000000000e+06,1.648506164550781472e-01,1.824398666672628449e-08
2.000000000000000000e+06,1.665542602539062389e-01,1.770684653903278372e-08
2.200000000000000000e+06,1.705915832519531161e-01,1.700007879696125474e-08
2.400000000000000000e+06,1.745208740234375222e-01,1.626459270530479655e-08
2.600000000000000000e+06,1.767187500000000355e-01,1.545665381230712686e-08
3.000000000000000000e+06,1.841029357910156372e-01,1.450286394521234450e-08
4.000000000000000000e+06,1.947567749023437766e-01,1.218777351860837941e-08
5.000000000000000000e+06,2.029226684570312744e-01,1.060290925637127338e-08
6.000000000000000000e+06,2.081672668457031361e-01,9.364701236152496639e-09
7.000000000000000000e+06,2.109303283691406072e-01,8.261920566115839223e-09
8.000000000000000000e+06,2.142074584960937389e-01,7.447570346672115359e-09
9.000000000000000000e+06,2.159082031249999756e-01,6.741339633856143149e-09
1.000000000000000000e+07,2.151307678222656450e-01,6.039539305408863090e-09
