# t [s], pressure [Bar], voltage [V]
0.000000000000000000e+00,-1.250000000000000069e-02,-5.074999999999999512e-01
1.310720000000000082e-04,-1.250000000000000069e-02,-5.074999999999999512e-01
2.621440000000000163e-04,-1.250000000000000069e-02,-5.074999999999999512e-01
3.932160000000000516e-04,-1.250000000000000069e-02,-5.074999999999999512e-01
5.242880000000000327e-04,-1.250000000000000069e-02,-5.074999999999999512e-01
6.553600000000000137e-04,-1.250000000000000069e-02,-5.074999999999999512e-01
7.864320000000001032e-04,-1.250000000000000069e-02,-5.074999999999999512e-01
9.175040000000000842e-04,-1.250000000000000069e-02,-5.074999999999999512e-01
1.048576000000000065e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
1.179648000000000155e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
1.310720000000000027e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
1.441792000000000117e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
1.572864000000000206e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
1.703936000000000079e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
1.835008000000000168e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
1.966080000000000258e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
2.097152000000000131e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
2.228224000000000003e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
2.359296000000000310e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
2.490368000000000182e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
2.621440000000000055e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
2.752512000000000361e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
2.883584000000000234e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
3.014656000000000106e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
3.145728000000000413e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
3.276800000000000285e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
3.407872000000000158e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
3.538944000000000031e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
3.670016000000000337e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
3.801088000000000210e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
3.932160000000000516e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
4.063231999999999955e-03,-1.250000000000000069e-02,-5.074999999999999512e-01
