# t [s], pressure [Bar], voltage [V]
0.000000000000000000e+00,3.499999999999999964e-04,5.000000000000000104e-03
2.621440000000000163e-04,3.499999999999999964e-04,5.000000000000000104e-03
5.242880000000000327e-04,3.499999999999999964e-04,2.500000000000000052e-03
7.864320000000001032e-04,3.499999999999999964e-04,2.500000000000000052e-03
1.048576000000000065e-03,3.499999999999999964e-04,2.500000000000000052e-03
1.310720000000000027e-03,3.499999999999999964e-04,2.500000000000000052e-03
1.572864000000000206e-03,3.499999999999999964e-04,2.500000000000000052e-03
1.835008000000000168e-03,3.499999999999999964e-04,5.000000000000000104e-03
2.097152000000000131e-03,3.499999999999999964e-04,2.500000000000000052e-03
2.359296000000000310e-03,3.499999999999999964e-04,2.500000000000000052e-03
2.621440000000000055e-03,3.499999999999999964e-04,5.000000000000000104e-03
2.883584000000000234e-03,3.499999999999999964e-04,2.500000000000000052e-03
3.145728000000000413e-03,3.499999999999999964e-04,2.500000000000000052e-03
3.407872000000000158e-03,3.499999999999999964e-04,2.500000000000000052e-03
3.670016000000000337e-03,3.499999999999999964e-04,2.500000000000000052e-03
3.932160000000000516e-03,3.499999999999999964e-04,5.000000000000000104e-03
4.194304000000000261e-03,3.499999999999999964e-04,2.500000000000000052e-03
4.456448000000000007e-03,-3.499999999999999964e-04,2.500000000000000052e-03
4.718592000000000619e-03,0.000000000000000000e+00,5.000000000000000104e-03
4.980736000000000364e-03,0.000000000000000000e+00,2.500000000000000052e-03
5.242880000000000110e-03,3.499999999999999964e-04,2.500000000000000052e-03
5.505024000000000722e-03,3.499999999999999964e-04,2.500000000000000052e-03
5.767168000000000468e-03,3.499999999999999964e-04,5.000000000000000104e-03
6.029312000000000213e-03,0.000000000000000000e+00,5.000000000000000104e-03
6.291456000000000826e-03,0.000000000000000000e+00,2.500000000000000052e-03
6.553600000000000571e-03,0.000000000000000000e+00,2.500000000000000052e-03
6.815744000000000316e-03,0.000000000000000000e+00,2.500000000000000052e-03
7.077888000000000061e-03,0.000000000000000000e+00,2.500000000000000052e-03
7.340032000000000674e-03,0.000000000000000000e+00,2.500000000000000052e-03
7.602176000000000419e-03,0.000000000000000000e+00,2.500000000000000052e-03
7.864320000000001032e-03,3.499999999999999964e-04,2.500000000000000052e-03
8.126463999999999910e-03,3.499999999999999964e-04,5.000000000000000104e-03
8.388608000000000522e-03,3.499999999999999964e-04,2.500000000000000052e-03
8.650752000000001135e-03,3.499999999999999964e-04,2.500000000000000052e-03
8.912896000000000013e-03,3.499999999999999964e-04,2.500000000000000052e-03
9.175040000000000626e-03,3.499999999999999964e-04,2.500000000000000052e-03
9.437184000000001238e-03,3.499999999999999964e-04,2.500000000000000052e-03
9.699328000000000116e-03,3.499999999999999964e-04,2.500000000000000052e-03
9.961472000000000729e-03,3.499999999999999964e-04,2.500000000000000052e-03
1.022361600000000134e-02,3.499999999999999964e-04,2.500000000000000052e-03
1.048576000000000022e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.074790400000000083e-02,3.499999999999999964e-04,2.500000000000000052e-03
1.101004800000000144e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.127219200000000032e-02,0.000000000000000000e+00,2.500000000000000052e-03
1.153433600000000094e-02,0.000000000000000000e+00,5.000000000000000104e-03
1.179648000000000155e-02,0.000000000000000000e+00,2.500000000000000052e-03
1.205862400000000043e-02,3.499999999999999964e-04,2.500000000000000052e-03
1.232076800000000104e-02,0.000000000000000000e+00,2.500000000000000052e-03
1.258291200000000165e-02,0.000000000000000000e+00,2.500000000000000052e-03
1.284505600000000053e-02,0.000000000000000000e+00,2.500000000000000052e-03
1.310720000000000114e-02,0.000000000000000000e+00,2.500000000000000052e-03
1.336934400000000002e-02,0.000000000000000000e+00,5.000000000000000104e-03
1.363148800000000063e-02,0.000000000000000000e+00,5.000000000000000104e-03
1.389363200000000124e-02,3.499999999999999964e-04,2.500000000000000052e-03
1.415577600000000012e-02,0.000000000000000000e+00,2.500000000000000052e-03
1.441792000000000074e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.468006400000000135e-02,0.000000000000000000e+00,2.500000000000000052e-03
1.494220800000000023e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.520435200000000084e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.546649600000000145e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.572864000000000206e-02,0.000000000000000000e+00,5.000000000000000104e-03
1.599078400000000094e-02,0.000000000000000000e+00,2.500000000000000052e-03
1.625292799999999982e-02,3.499999999999999964e-04,2.500000000000000052e-03
1.651507200000000217e-02,0.000000000000000000e+00,5.000000000000000104e-03
1.677721600000000104e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.703935999999999992e-02,0.000000000000000000e+00,5.000000000000000104e-03
1.730150400000000227e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.756364800000000115e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.782579200000000003e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.808793600000000237e-02,0.000000000000000000e+00,5.000000000000000104e-03
1.835008000000000125e-02,0.000000000000000000e+00,5.000000000000000104e-03
1.861222400000000013e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.887436800000000248e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.913651200000000135e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.939865600000000023e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.966080000000000258e-02,3.499999999999999964e-04,5.000000000000000104e-03
1.992294400000000146e-02,0.000000000000000000e+00,5.000000000000000104e-03
2.018508800000000034e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.044723200000000268e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.070937600000000156e-02,0.000000000000000000e+00,5.000000000000000104e-03
2.097152000000000044e-02,0.000000000000000000e+00,2.500000000000000052e-03
2.123366400000000279e-02,0.000000000000000000e+00,2.500000000000000052e-03
2.149580800000000166e-02,3.499999999999999964e-04,2.500000000000000052e-03
2.175795200000000054e-02,0.000000000000000000e+00,2.500000000000000052e-03
2.202009600000000289e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.228224000000000177e-02,3.499999999999999964e-04,2.500000000000000052e-03
2.254438400000000065e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.280652800000000299e-02,0.000000000000000000e+00,5.000000000000000104e-03
2.306867200000000187e-02,3.499999999999999964e-04,2.500000000000000052e-03
2.333081600000000075e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.359296000000000310e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.385510400000000197e-02,0.000000000000000000e+00,5.000000000000000104e-03
2.411724800000000085e-02,3.499999999999999964e-04,2.500000000000000052e-03
2.437939200000000320e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.464153600000000208e-02,3.499999999999999964e-04,2.500000000000000052e-03
2.490368000000000095e-02,3.499999999999999964e-04,2.500000000000000052e-03
2.516582400000000330e-02,3.499999999999999964e-04,2.500000000000000052e-03
2.542796800000000218e-02,3.499999999999999964e-04,2.500000000000000052e-03
2.569011200000000106e-02,3.499999999999999964e-04,2.500000000000000052e-03
2.595225599999999994e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.621440000000000228e-02,3.499999999999999964e-04,2.500000000000000052e-03
2.647654400000000116e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.673868800000000004e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.700083200000000239e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.726297600000000126e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.752512000000000014e-02,3.499999999999999964e-04,5.000000000000000104e-03
2.778726400000000249e-02,3.499999999999999964e-04,5.000000000000000104e-03
