# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,4.475555419921875035e-03,3.445433349731433061e-09
2.000000000000000000e+04,6.645660400390626318e-03,3.388025636559969606e-09
3.000000000000000000e+04,9.188232421875001249e-03,4.102773600580501497e-09
4.000000000000000000e+04,1.259414672851562680e-02,5.529084261296788057e-09
5.000000000000000000e+04,1.568878173828125444e-02,6.592260122570986799e-09
6.000000000000000000e+04,1.813888549804688194e-02,7.290521547541265440e-09
7.000000000000000000e+04,2.121124267578125208e-02,8.161613490622009981e-09
8.000000000000000000e+04,2.411163330078125097e-02,9.266661205309153606e-09
9.000000000000000000e+04,2.662719726562499944e-02,9.780775113783458920e-09
1.000000000000000000e+05,2.933303833007813027e-02,1.052293935678807309e-08
1.300000000000000000e+05,3.740692138671875000e-02,1.286695119435078953e-08
1.600000000000000000e+05,4.444213867187500611e-02,1.484250328843159603e-08
1.800000000000000000e+05,4.920089721679687250e-02,1.597793391504270591e-08
2.000000000000000000e+05,5.331420898437500694e-02,1.698346229338189409e-08
2.300000000000000000e+05,6.063217163085937722e-02,1.890852460850798417e-08
2.600000000000000000e+05,6.695571899414062833e-02,2.043657658905713866e-08
3.000000000000000000e+05,7.472961425781249334e-02,2.201031023825623926e-08
3.500000000000000000e+06,8.450302124023437167e-02,2.401688570743834147e-09
4.000000000000000000e+05,9.256744384765625000e-02,2.490317603856869357e-08
5.000000000000000000e+05,1.084399414062500039e-01,2.736074239765582960e-08
6.000000000000000000e+05,1.224876403808593806e-01,2.898319182224377386e-08
7.000000000000000000e+05,1.335885620117187589e-01,2.968978455135410109e-08
8.000000000000000000e+05,1.444940185546875200e-01,3.043983850659835000e-08
9.000000000000000000e+05,1.549975585937500011e-01,3.084288412612483677e-08
1.000000000000000000e+06,1.640422058105468761e-01,3.128890647049294696e-08
1.100000000000000000e+06,1.726487731933593617e-01,3.155742030546573412e-08
1.200000000000000000e+06,1.780763244628906228e-01,3.073938319478076618e-08
1.300000000000000000e+06,1.856251525878906405e-01,3.090240947758240373e-08
1.400000000000000000e+06,1.906561279296875022e-01,3.005221154892255471e-08
1.500000000000000000e+06,1.976829528808593528e-01,3.032292264563946341e-08
1.600000000000000000e+06,2.005783081054687556e-01,2.919441544260778215e-08
1.700000000000000000e+06,2.059335327148437700e-01,2.891898215588365878e-08
1.800000000000000000e+06,2.096337890625000200e-01,2.838873324513734810e-08
1.900000000000000000e+06,2.147004699707031339e-01,2.828282503996821213e-08
2.000000000000000000e+06,2.179528808593750033e-01,2.763074714043697721e-08
2.200000000000000000e+06,2.266415405273437544e-01,2.720189019842614899e-08
2.400000000000000000e+06,2.330433654785156461e-01,2.647276903839497849e-08
2.600000000000000000e+06,2.377209472656249822e-01,2.538519455164918008e-08
2.800000000000000000e+06,2.401913452148437544e-01,2.402388286901644269e-08
3.000000000000000000e+06,2.444406127929687478e-01,2.328166160183219939e-08
3.300000000000000000e+06,2.521055603027343994e-01,2.257987326514701158e-08
3.600000000000000000e+06,2.564022827148437211e-01,2.141826289000075592e-08
4.000000000000000000e+06,2.594927978515625400e-01,1.970499480672248866e-08
5.000000000000000000e+06,2.722000122070312167e-01,1.738418658663924833e-08
6.000000000000000000e+06,2.786181640625000622e-01,1.526954231082986392e-08
7.000000000000000000e+06,2.837008666992187345e-01,1.348651104768592327e-08
8.000000000000000000e+06,2.870669555664062678e-01,1.208866902877232977e-08
9.000000000000000000e+06,2.910398864746094327e-01,1.102835193590957226e-08
1.000000000000000000e+07,2.954508972167969039e-01,1.029246437144936444e-08
