# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,1.330825805664062958e-02,1.915080004399365793e-10
2.000000000000000000e+04,1.123214721679687694e-02,1.751652885885799981e-10
3.000000000000000000e+04,1.314392089843750312e-02,2.588616528557342367e-10
4.000000000000000000e+04,1.445510864257812736e-02,3.141927719116211285e-10
5.000000000000000000e+04,1.647399902343750153e-02,3.956989106677827973e-10
6.000000000000000000e+04,1.883331298828125333e-02,4.912919818230394785e-10
7.000000000000000000e+04,2.012039184570312694e-02,5.377978030766282527e-10
8.000000000000000000e+04,2.210540771484375069e-02,6.336600692183883159e-10
9.000000000000000000e+04,2.374450683593750180e-02,7.081086045011468506e-10
1.000000000000000000e+05,2.565734863281250028e-02,8.124375776811079399e-10
1.200000000000000000e+05,2.854644775390624903e-02,9.619542530604771552e-10
1.400000000000000000e+05,3.142395019531250139e-02,1.142057452285498893e-09
1.600000000000000000e+05,3.435836791992187556e-02,1.328387753716830624e-10
2.000000000000000000e+05,3.873016357421874695e-02,1.615699132283529032e-09
2.300000000000000000e+05,4.143539428710937139e-02,1.795948617826632407e-09
2.600000000000000000e+05,4.368270874023437444e-02,1.942889198424324177e-09
3.000000000000000000e+05,4.635345458984375250e-02,2.117342435396635008e-09
3.500000000000000000e+05,4.892684936523437195e-02,2.267887539333767553e-09
4.000000000000000000e+05,5.152084350585937889e-02,2.418818065098353937e-09
5.000000000000000000e+05,5.528289794921874972e-02,2.601838175455729389e-09
6.000000000000000000e+05,5.743637084960936945e-02,2.650444746017456290e-09
7.000000000000000000e+05,5.949691772460938277e-02,2.674179750330307990e-09
8.000000000000000000e+05,6.050994873046874889e-02,2.632907019721137275e-09
9.000000000000000000e+05,6.175979614257812861e-02,2.591520409835012755e-09
1.000000000000000000e+06,6.257659912109375666e-02,2.534423446655273568e-09
1.100000000000000000e+06,6.282394409179686834e-02,2.443645840599423474e-09
1.200000000000000000e+06,6.346206665039062778e-02,2.381218823519620305e-09
1.300000000000000000e+06,6.434829711914062667e-02,2.336304871932319831e-09
1.400000000000000000e+06,6.484786987304687333e-02,2.274565537770589347e-09
1.500000000000000000e+06,6.498764038085938499e-02,2.199103240966796648e-09
1.600000000000000000e+06,6.530593872070311612e-02,2.134361120370718037e-09
1.700000000000000000e+06,6.573303222656250167e-02,2.079520331488715715e-09
1.800000000000000000e+06,6.578094482421875666e-02,2.011039733886718576e-09
1.900000000000000000e+06,6.611053466796874833e-02,1.966335428172144430e-09
2.000000000000000000e+06,6.599655151367188333e-02,1.894963455200195518e-09
2.200000000000000000e+06,6.656463623046875167e-02,1.814929723739624045e-09
2.400000000000000000e+06,6.707550048828125888e-02,1.728402081657858450e-09
2.600000000000000000e+06,6.655242919921874889e-02,1.617306603325737786e-09
3.000000000000000000e+06,6.723648071289062278e-02,1.481773471832275256e-09
3.500000000000000000e+06,6.759658813476562833e-02,1.332553693983289907e-09
4.000000000000000000e+06,6.769363403320310946e-02,1.202966232299804871e-09
5.000000000000000000e+06,6.801849365234374778e-02,1.012670389811197948e-09
6.000000000000000000e+06,6.828796386718749556e-02,8.766482761928014075e-10
7.000000000000000000e+06,6.876800537109374611e-02,7.767357826232909887e-10
8.000000000000000000e+06,6.875183105468749001e-02,6.889595031738281240e-10
9.000000000000000000e+06,6.903915405273436390e-02,6.247283554077148273e-10
1.000000000000000000e+07,6.889175415039061612e-02,5.671192862770774491e-10
