# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,1.343643188476562750e-02,2.016430089969446143e-10
2.000000000000000000e+04,1.331893920898437680e-02,2.448568157121247507e-10
3.000000000000000000e+04,1.564743041992187889e-02,3.536791014439851402e-10
4.000000000000000000e+04,1.779983520507812805e-02,4.527477117685171612e-10
5.000000000000000000e+04,1.993621826171874944e-02,5.563775925409227690e-10
6.000000000000000000e+04,2.306930541992187680e-02,7.219937162579231406e-10
7.000000000000000000e+04,2.566467285156250056e-02,8.587817610981310549e-10
8.000000000000000000e+04,2.836486816406250111e-02,1.013863881429036573e-09
9.000000000000000000e+04,3.055679321289062403e-02,1.161569367854967062e-09
1.000000000000000000e+05,3.554443359375000777e-02,1.547101107510653243e-09
2.500000000000000000e+05,4.365417480468750111e-02,1.993307495117187219e-09
2.000000000000000000e+05,5.222442626953124889e-02,2.941344579060872724e-09
3.000000000000000000e+05,6.405731201171875611e-02,4.061316856971153970e-09
4.000000000000000000e+05,7.251663208007813610e-02,4.856882095336913775e-09
5.000000000000000000e+05,7.760498046875000111e-02,5.219032287597656554e-09
6.000000000000000000e+05,8.130203247070312556e-02,5.415707349777220914e-09
7.000000000000000000e+05,8.385971069335937389e-02,5.461208792293772449e-09
8.000000000000000000e+05,8.639663696289062722e-02,5.488223817613389498e-09
9.000000000000000000e+05,8.800598144531249223e-02,5.434162340666118477e-09
1.000000000000000000e+06,8.906585693359375666e-02,5.319656753540038142e-09
1.100000000000000000e+06,9.011672973632811612e-02,5.176481519426618711e-09
1.200000000000000000e+06,9.145782470703125999e-02,5.096067601984197655e-09
1.300000000000000000e+06,9.206069946289062444e-02,4.932342363440472177e-09
1.400000000000000000e+06,9.222824096679685391e-02,4.738955656687418797e-09
1.500000000000000000e+06,9.313415527343749112e-02,4.637333679199219276e-09
1.600000000000000000e+06,9.331863403320313222e-02,4.499934709989107150e-09
1.700000000000000000e+06,9.356048583984374889e-02,4.346071596498843244e-09
1.800000000000000000e+06,9.419189453124998668e-02,4.251946857997348646e-09
1.900000000000000000e+06,9.512039184570311723e-02,4.184538874132880378e-09
2.000000000000000000e+06,9.483917236328125167e-02,4.021096038818358681e-09
2.200000000000000000e+06,9.614044189453124778e-02,3.874135971069335732e-09
2.400000000000000000e+06,9.494598388671875167e-02,3.572501238654641565e-09
2.600000000000000000e+06,9.512542724609374112e-02,3.392150878906249999e-09
3.000000000000000000e+06,9.577377319335936279e-02,3.108376216888427867e-09
4.000000000000000000e+06,9.751495361328124667e-02,2.573809204101562226e-09
5.000000000000000000e+06,9.855133056640624778e-02,2.181350453694661203e-09
6.000000000000000000e+06,9.953079223632811667e-02,1.913280214582170869e-09
7.000000000000000000e+06,9.876708984374998890e-02,1.658186244964599318e-09
8.000000000000000000e+06,1.002400207519531239e-01,1.515922843085394964e-09
9.000000000000000000e+06,9.940277099609375056e-02,1.344246520996093781e-09
1.000000000000000000e+07,9.937240600585936501e-02,1.222313655506480970e-09
