# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,1.774505615234375083e-02,3.639727299756343581e-10
2.000000000000000000e+04,1.899948120117187639e-02,5.041507646149280452e-10
3.000000000000000000e+04,2.212509155273437514e-02,7.266120540285574238e-10
4.000000000000000000e+04,2.604507446289062306e-02,1.018627973703237642e-09
5.000000000000000000e+04,3.042465209960937278e-02,1.379381088983445013e-09
6.000000000000000000e+04,3.556945800781250583e-02,1.846077397184552126e-09
7.000000000000000000e+04,3.992507934570312111e-02,2.272989504805235148e-09
8.000000000000000000e+04,4.433151245117188111e-02,2.754487284907588489e-09
9.000000000000000000e+04,4.957092285156250444e-02,3.357415855477709227e-09
1.000000000000000000e+05,5.402435302734374944e-02,3.913312738591974617e-09
1.200000000000000000e+05,6.268844604492186667e-02,5.122793401990617688e-09
1.400000000000000000e+05,7.261779785156249889e-02,6.659213952850876968e-09
1.600000000000000000e+05,8.054382324218750666e-02,7.945017979062836242e-09
2.000000000000000000e+05,9.980224609374999112e-02,1.154902585347493498e-08
2.500000000000000000e+05,1.150471496582031183e-01,1.457743194580077955e-08
3.000000000000000000e+05,1.299707031250000033e-01,1.764471552922175373e-08
4.000000000000000000e+05,1.576753234863281228e-01,2.379742567879812971e-08
5.000000000000000000e+05,1.824797058105468717e-01,2.927769139607747322e-08
6.000000000000000000e+05,2.024996948242187567e-01,3.357525920867920031e-08
7.000000000000000000e+05,2.203039550781250022e-01,3.731641881606158028e-08
8.000000000000000000e+05,2.333341979980468883e-01,3.949573707580566092e-08
9.000000000000000000e+05,2.483142089843750067e-01,4.201578200490851671e-08
1.000000000000000000e+06,2.604837036132812145e-01,4.381211967468261760e-08
1.100000000000000000e+06,2.671022033691405895e-01,4.414587020874022728e-08
1.200000000000000000e+06,2.762561035156250178e-01,4.501426245949485261e-08
1.300000000000000000e+06,2.850650024414062567e-01,4.565540147864299875e-08
1.400000000000000000e+06,2.947366333007812034e-01,4.668590037027994319e-08
1.500000000000000000e+06,3.005253601074218683e-01,4.659921218872070154e-08
1.600000000000000000e+06,3.048135375976562256e-01,4.620988992544320661e-08
1.700000000000000000e+06,3.110241699218749822e-01,4.624379475911458765e-08
1.800000000000000000e+06,3.175010681152343750e-01,4.641873209817068933e-08
1.900000000000000000e+06,3.185847473144531317e-01,4.542198510005556824e-08
2.000000000000000000e+06,3.246105957031250044e-01,4.536039911905923760e-08
2.200000000000000000e+06,3.301496887207031605e-01,4.416404569149017161e-08
2.400000000000000000e+06,3.381904602050781472e-01,4.352473887275247090e-08
2.600000000000000000e+06,3.451657104492187322e-01,4.276784388224283876e-08
3.000000000000000000e+06,3.539831542968749911e-01,4.051888446807861540e-08
4.000000000000000000e+06,3.723236083984374778e-01,3.596908309936522924e-08
5.000000000000000000e+05,3.788223266601562500e-01,1.246859100341796853e-07
6.000000000000000000e+05,3.891017150878905984e-01,1.227470724582672216e-07
7.000000000000000000e+06,3.921864318847656516e-01,2.502762064933776898e-08
8.000000000000000000e+06,3.967550659179687189e-01,2.270946714613172717e-08
9.000000000000000000e+06,3.984695434570312278e-01,2.067174697875976559e-08
1.000000000000000000e+07,4.027287292480469238e-01,1.913589959578080433e-08
