# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,6.475219726562501076e-03,6.944108717512376014e-11
2.000000000000000000e+04,1.196563720703125097e-02,2.217752793255974216e-10
3.000000000000000000e+04,1.760910034179687805e-02,4.688948103525106115e-10
4.000000000000000000e+04,2.294876098632812889e-02,7.791984998262845184e-10
5.000000000000000000e+04,2.803710937500000083e-02,1.137717110770089253e-09
6.000000000000000000e+04,3.377410888671875111e-02,1.618621394319354485e-09
7.000000000000000000e+04,3.861953735351562889e-02,2.066237191173517604e-09
8.000000000000000000e+04,4.336532592773437861e-02,2.553468280368381228e-09
9.000000000000000000e+04,4.868408203124999917e-02,3.186630109034547111e-09
1.000000000000000000e+05,5.344604492187499806e-02,3.798077670010653198e-09
1.100000000000000000e+05,5.797103881835937583e-02,4.405029915474556589e-09
1.200000000000000000e+05,6.258789062500000333e-02,5.046880585806709411e-09
1.300000000000000000e+05,6.681243896484376221e-02,5.618456275062223530e-09
1.400000000000000000e+05,7.108993530273437222e-02,6.355852829782586040e-09
1.500000000000000000e+05,7.496109008789061945e-02,6.929400568423064052e-09
1.600000000000000000e+05,7.976699829101563388e-02,7.792428444171772740e-09
1.700000000000000000e+05,8.443466186523437833e-02,8.584380516639123321e-09
1.800000000000000000e+05,8.717208862304687278e-02,9.035532353288035952e-09
1.900000000000000000e+05,9.145553588867187667e-02,9.767653200806690170e-09
2.000000000000000000e+05,9.512954711914062278e-02,1.055717817942301412e-08
2.200000000000000000e+05,1.021371459960937617e-01,1.184074777071593255e-08
2.400000000000000000e+05,1.105514526367187556e-01,1.356315858902469766e-08
2.600000000000000000e+05,1.164398193359375000e-01,1.480916765001085109e-08
2.800000000000000000e+05,1.233029174804687461e-01,1.621995270252227764e-08
3.000000000000000000e+05,1.285649108886718905e-01,1.717413300734299960e-08
4.000000000000000000e+05,1.577505493164062522e-01,2.369497408185686341e-08
5.000000000000000000e+05,1.783686828613281206e-01,2.804040908813476380e-08
6.000000000000000000e+05,1.987506103515624956e-01,3.233833742141723450e-08
7.000000000000000000e+05,2.146563720703124900e-01,3.541139176312614886e-08
8.000000000000000000e+05,2.283299255371094016e-01,3.777497630649143203e-08
9.000000000000000000e+05,2.437809753417968794e-01,4.036175075330232685e-08
1.000000000000000000e+06,2.552970886230468972e-01,4.215648212432861291e-08
1.100000000000000000e+06,2.666957092285155984e-01,4.372496232532319710e-08
1.200000000000000000e+06,2.736174011230468883e-01,4.375175493413752211e-08
1.300000000000000000e+06,2.828384399414062278e-01,4.485656738281249746e-08
1.400000000000000000e+06,2.888317871093749600e-01,4.468277994791667183e-08
1.500000000000000000e+06,2.938641357421875044e-01,4.460715301513671316e-08
1.600000000000000000e+06,3.006961059570312234e-01,4.491465436495267296e-08
1.700000000000000000e+06,3.057090759277343306e-01,4.470283635457357089e-08
1.800000000000000000e+06,3.142613220214843794e-01,4.549102742331368750e-08
1.900000000000000000e+06,3.151994323730468728e-01,4.423829874499091243e-08
2.000000000000000000e+06,3.222114562988280806e-01,4.447200762430826920e-08
2.200000000000000000e+06,3.257850646972656472e-01,4.288210189342499029e-08
2.400000000000000000e+06,3.352696228027343683e-01,4.252615255468032150e-08
2.600000000000000000e+06,3.402885437011718972e-01,4.161885717180040487e-08
2.800000000000000000e+06,3.444889831542968794e-01,4.036727533842387965e-08
3.000000000000000000e+06,3.488153076171874867e-01,3.926723308563232608e-08
4.000000000000000000e+06,3.633866882324219283e-01,3.425350044250488399e-08
5.000000000000000000e+06,3.787542724609375133e-01,3.088528200785319203e-08
6.000000000000000000e+06,3.857910156250000111e-01,2.748241533551897260e-08
7.000000000000000000e+06,3.904302978515624689e-01,2.455834798812866023e-08
8.000000000000000000e+06,3.931831359863281472e-01,2.213093706766764356e-08
9.000000000000000000e+06,3.961599731445312189e-01,2.022636505126953033e-08
1.000000000000000000e+07,3.996765136718750111e-01,1.870142628062855013e-08
