# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,9.032440185546875694e-03,1.130261882259039810e-08
2.000000000000000000e+04,1.095184326171875014e-02,9.518719620659590872e-09
3.000000000000000000e+04,1.538894653320312805e-02,1.218644528662195707e-08
4.000000000000000000e+04,1.962844848632812333e-02,1.435622564330911265e-08
5.000000000000000000e+04,2.398696899414062833e-02,1.637666373869788671e-08
6.000000000000000000e+04,2.832641601562500139e-02,1.873478500293224241e-08
7.000000000000000000e+04,3.259017944335937389e-02,2.085951842184899801e-08
8.000000000000000000e+04,3.679138183593749778e-02,2.325861467808312634e-08
9.000000000000000000e+04,4.082992553710937389e-02,2.526131006449104041e-08
1.000000000000000000e+05,4.488189697265625167e-02,2.705322678218530590e-08
1.100000000000000000e+05,4.874023437499999667e-02,2.898067831174901692e-08
1.200000000000000000e+05,5.252746582031249389e-02,3.069250596821198207e-08
1.300000000000000000e+05,5.636352539062500222e-02,3.269031907386770120e-08
1.400000000000000000e+05,5.993698120117187111e-02,3.397878899340869894e-08
1.500000000000000000e+05,6.340225219726562667e-02,3.541910845675742376e-08
1.600000000000000000e+05,6.687026977539062278e-02,3.688772273313550715e-08
1.700000000000000000e+05,7.016326904296874001e-02,3.809601308842255020e-08
1.800000000000000000e+05,7.343399047851563444e-02,3.928350664911127581e-08
1.900000000000000000e+05,7.647705078125000000e-02,4.035895940160142290e-08
2.000000000000000000e+05,7.961486816406250500e-02,4.136899862986036740e-08
2.200000000000000000e+05,8.576751708984375888e-02,4.361468517428258685e-08
2.400000000000000000e+05,9.143020629882812889e-02,4.530635870631381903e-08
2.600000000000000000e+05,9.700592041015625167e-02,4.714874326617674367e-08
2.800000000000000000e+05,1.021583557128906139e-01,4.850418887707724805e-08
3.000000000000000000e+05,1.074432373046874944e-01,5.007570232334251471e-08
4.000000000000000000e+05,1.292323303222656372e-01,5.412831221187327470e-08
5.000000000000000000e+05,1.464868164062499978e-01,5.554013702763610462e-08
6.000000000000000000e+05,1.607496643066406161e-01,5.586283782890472793e-08
7.000000000000000000e+05,1.726820373535156161e-01,5.535014991918455092e-08
8.000000000000000000e+05,1.822489929199218595e-01,5.407360327210113613e-08
9.000000000000000000e+05,1.904550170898437478e-01,5.257447059596582619e-08
1.000000000000000000e+06,1.977629089355468772e-01,5.114597203212855976e-08
1.100000000000000000e+06,2.040116882324218839e-01,4.955644957481413200e-08
1.200000000000000000e+06,2.091151428222656206e-01,4.777588836618271378e-08
1.300000000000000000e+06,2.135462951660156428e-01,4.610080429943013791e-08
1.400000000000000000e+06,2.176557922363281383e-01,4.453703968833451480e-08
1.500000000000000000e+06,2.212992858886718706e-01,4.303270217701040081e-08
1.600000000000000000e+06,2.249275207519531306e-01,4.167789691541049353e-08
1.700000000000000000e+06,2.277156066894531206e-01,4.027711832741029084e-08
1.800000000000000000e+06,2.304734802246093950e-01,3.902683696608829512e-08
1.900000000000000000e+06,2.335186767578125155e-01,3.794349520500663644e-08
2.000000000000000000e+06,2.356507873535156339e-01,3.674635442192776802e-08
2.200000000000000000e+06,2.395997619628906228e-01,3.458532720680927808e-08
2.400000000000000000e+06,2.434921264648437500e-01,3.278938771002887952e-08
2.600000000000000000e+06,2.464440917968749867e-01,3.101189609001968375e-08
2.800000000000000000e+06,2.488905334472656383e-01,2.935038431163904318e-08
3.000000000000000000e+06,2.514009094238280895e-01,2.795508724434103578e-08
4.000000000000000000e+06,2.603469848632812278e-01,2.242336189446470213e-08
5.000000000000000000e+06,2.660165405273436923e-01,1.871577582837803727e-08
6.000000000000000000e+06,2.696482849121094039e-01,1.602087535872373870e-08
7.000000000000000000e+06,2.726074218749999778e-01,1.402767297076072534e-08
8.000000000000000000e+06,2.746554565429687456e-01,1.245618044599868381e-08
9.000000000000000000e+06,2.761714172363280984e-01,1.118810838788541762e-08
1.000000000000000000e+07,2.782902526855468572e-01,1.021279877577822822e-08
