# t [s], pressure [Bar], voltage [V]
0.000000000000000000e+00,-2.099999999999999870e-03,-9.750000000000000333e-02
6.553600000000000408e-05,-2.099999999999999870e-03,-9.750000000000000333e-02
1.310720000000000082e-04,-2.099999999999999870e-03,-9.750000000000000333e-02
1.966080000000000258e-04,-2.099999999999999870e-03,-9.750000000000000333e-02
2.621440000000000163e-04,-2.099999999999999870e-03,-9.750000000000000333e-02
3.276800000000000069e-04,-2.099999999999999870e-03,-9.750000000000000333e-02
3.932160000000000516e-04,-2.099999999999999870e-03,-9.500000000000000111e-02
4.587520000000000421e-04,-2.099999999999999870e-03,-9.750000000000000333e-02
5.242880000000000327e-04,-2.099999999999999870e-03,-9.500000000000000111e-02
5.898240000000000774e-04,-2.099999999999999870e-03,-9.249999999999999889e-02
6.553600000000000137e-04,-2.099999999999999870e-03,-9.249999999999999889e-02
7.208960000000000585e-04,-2.099999999999999870e-03,-9.249999999999999889e-02
7.864320000000001032e-04,-2.099999999999999870e-03,-9.249999999999999889e-02
8.519680000000000395e-04,-2.099999999999999870e-03,-9.249999999999999889e-02
9.175040000000000842e-04,-2.099999999999999870e-03,-8.999999999999999667e-02
9.830400000000001290e-04,-2.099999999999999870e-03,-8.999999999999999667e-02
1.048576000000000065e-03,-2.099999999999999870e-03,-8.999999999999999667e-02
1.114112000000000002e-03,-2.099999999999999870e-03,-8.999999999999999667e-02
1.179648000000000155e-03,-2.099999999999999870e-03,-8.999999999999999667e-02
1.245184000000000091e-03,-2.099999999999999870e-03,-8.999999999999999667e-02
1.310720000000000027e-03,-2.099999999999999870e-03,-8.749999999999999445e-02
1.376256000000000181e-03,-2.099999999999999870e-03,-8.999999999999999667e-02
1.441792000000000117e-03,-2.099999999999999870e-03,-8.749999999999999445e-02
1.507328000000000053e-03,-2.099999999999999870e-03,-8.749999999999999445e-02
1.572864000000000206e-03,-2.099999999999999870e-03,-8.749999999999999445e-02
1.638400000000000143e-03,-2.099999999999999870e-03,-8.500000000000000611e-02
1.703936000000000079e-03,-2.099999999999999870e-03,-8.500000000000000611e-02
1.769472000000000015e-03,-2.099999999999999870e-03,-8.500000000000000611e-02
1.835008000000000168e-03,-2.099999999999999870e-03,-8.500000000000000611e-02
1.900544000000000105e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
1.966080000000000258e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
2.031615999999999977e-03,-2.099999999999999870e-03,-8.500000000000000611e-02
2.097152000000000131e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
2.162688000000000284e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
2.228224000000000003e-03,-1.749999999999999820e-03,-8.250000000000000389e-02
2.293760000000000156e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
2.359296000000000310e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
2.424832000000000029e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
2.490368000000000182e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
2.555904000000000335e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
2.621440000000000055e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
2.686976000000000208e-03,-1.749999999999999820e-03,-8.250000000000000389e-02
2.752512000000000361e-03,-2.099999999999999870e-03,-8.250000000000000389e-02
2.818048000000000081e-03,-1.749999999999999820e-03,-8.250000000000000389e-02
2.883584000000000234e-03,-2.099999999999999870e-03,-8.000000000000000167e-02
2.949120000000000387e-03,-2.099999999999999870e-03,-8.000000000000000167e-02
3.014656000000000106e-03,-2.099999999999999870e-03,-8.000000000000000167e-02
3.080192000000000260e-03,-2.099999999999999870e-03,-8.000000000000000167e-02
3.145728000000000413e-03,-1.749999999999999820e-03,-8.000000000000000167e-02
3.211264000000000132e-03,-2.099999999999999870e-03,-8.000000000000000167e-02
3.276800000000000285e-03,-2.099999999999999870e-03,-8.000000000000000167e-02
3.342336000000000005e-03,-2.099999999999999870e-03,-8.000000000000000167e-02
3.407872000000000158e-03,-2.099999999999999870e-03,-7.749999999999999944e-02
3.473408000000000311e-03,-2.099999999999999870e-03,-7.749999999999999944e-02
3.538944000000000031e-03,-2.099999999999999870e-03,-7.749999999999999944e-02
3.604480000000000184e-03,-2.099999999999999870e-03,-7.749999999999999944e-02
3.670016000000000337e-03,-2.099999999999999870e-03,-7.499999999999999722e-02
3.735552000000000056e-03,-2.099999999999999870e-03,-7.499999999999999722e-02
3.801088000000000210e-03,-2.099999999999999870e-03,-7.499999999999999722e-02
3.866624000000000363e-03,-2.099999999999999870e-03,-7.499999999999999722e-02
3.932160000000000516e-03,-1.749999999999999820e-03,-7.499999999999999722e-02
3.997696000000000235e-03,-2.099999999999999870e-03,-7.499999999999999722e-02
4.063231999999999955e-03,-2.099999999999999870e-03,-7.499999999999999722e-02
4.128768000000000542e-03,-1.749999999999999820e-03,-7.499999999999999722e-02
4.194304000000000261e-03,-2.099999999999999870e-03,-7.499999999999999722e-02
4.259839999999999981e-03,-2.099999999999999870e-03,-7.249999999999999500e-02
4.325376000000000568e-03,-2.099999999999999870e-03,-7.499999999999999722e-02
4.390912000000000287e-03,-1.749999999999999820e-03,-7.249999999999999500e-02
4.456448000000000007e-03,-1.749999999999999820e-03,-7.249999999999999500e-02
4.521984000000000593e-03,-1.749999999999999820e-03,-7.249999999999999500e-02
4.587520000000000313e-03,-1.749999999999999820e-03,-7.249999999999999500e-02
4.653056000000000032e-03,-1.749999999999999820e-03,-7.249999999999999500e-02
4.718592000000000619e-03,-2.099999999999999870e-03,-7.249999999999999500e-02
4.784128000000000339e-03,-1.749999999999999820e-03,-7.249999999999999500e-02
4.849664000000000058e-03,-1.749999999999999820e-03,-7.249999999999999500e-02
4.915200000000000645e-03,-1.749999999999999820e-03,-7.000000000000000666e-02
4.980736000000000364e-03,-1.749999999999999820e-03,-7.000000000000000666e-02
5.046272000000000084e-03,-1.749999999999999820e-03,-7.000000000000000666e-02
5.111808000000000671e-03,-1.749999999999999820e-03,-7.000000000000000666e-02
5.177344000000000390e-03,-1.749999999999999820e-03,-7.000000000000000666e-02
5.242880000000000110e-03,-1.749999999999999820e-03,-6.750000000000000444e-02
5.308416000000000697e-03,-1.749999999999999820e-03,-6.750000000000000444e-02
5.373952000000000416e-03,-1.749999999999999820e-03,-6.750000000000000444e-02
5.439488000000000135e-03,-1.049999999999999935e-03,-6.750000000000000444e-02
5.505024000000000722e-03,-6.999999999999999929e-04,-6.750000000000000444e-02
5.570560000000000442e-03,-1.049999999999999935e-03,-6.750000000000000444e-02
5.636096000000000161e-03,-1.049999999999999935e-03,-6.750000000000000444e-02
5.701632000000000748e-03,-1.049999999999999935e-03,-6.750000000000000444e-02
5.767168000000000468e-03,-1.049999999999999935e-03,-6.750000000000000444e-02
5.832704000000000187e-03,-1.049999999999999935e-03,-6.750000000000000444e-02
5.898240000000000774e-03,-1.049999999999999935e-03,-6.750000000000000444e-02
5.963776000000000493e-03,-1.049999999999999935e-03,-6.750000000000000444e-02
6.029312000000000213e-03,-1.049999999999999935e-03,-6.750000000000000444e-02
6.094848000000000800e-03,-1.049999999999999935e-03,-6.750000000000000444e-02
6.160384000000000519e-03,-6.999999999999999929e-04,-6.750000000000000444e-02
6.225920000000000239e-03,-6.999999999999999929e-04,-6.500000000000000222e-02
6.291456000000000826e-03,-6.999999999999999929e-04,-6.500000000000000222e-02
6.356992000000000545e-03,-6.999999999999999929e-04,-6.500000000000000222e-02
6.422528000000000264e-03,-3.499999999999999964e-04,-6.500000000000000222e-02
6.488063999999999984e-03,-3.499999999999999964e-04,-6.500000000000000222e-02
6.553600000000000571e-03,-3.499999999999999964e-04,-6.500000000000000222e-02
6.619136000000000290e-03,-3.499999999999999964e-04,-6.500000000000000222e-02
6.684672000000000010e-03,-3.499999999999999964e-04,-6.500000000000000222e-02
6.750208000000000597e-03,-3.499999999999999964e-04,-6.500000000000000222e-02
6.815744000000000316e-03,-3.499999999999999964e-04,-6.250000000000000000e-02
6.881280000000000036e-03,-3.499999999999999964e-04,-6.250000000000000000e-02
6.946816000000000622e-03,-3.499999999999999964e-04,-6.250000000000000000e-02
7.012352000000000342e-03,-3.499999999999999964e-04,-6.500000000000000222e-02
7.077888000000000061e-03,-3.499999999999999964e-04,-6.250000000000000000e-02
7.143424000000000648e-03,-3.499999999999999964e-04,-6.250000000000000000e-02
7.208960000000000368e-03,-3.499999999999999964e-04,-6.250000000000000000e-02
7.274496000000000087e-03,3.499999999999999964e-04,-6.250000000000000000e-02
7.340032000000000674e-03,3.499999999999999964e-04,-5.999999999999999778e-02
7.405568000000000393e-03,6.999999999999999929e-04,-5.999999999999999778e-02
7.471104000000000113e-03,6.999999999999999929e-04,-6.250000000000000000e-02
7.536640000000000700e-03,6.999999999999999929e-04,-5.999999999999999778e-02
7.602176000000000419e-03,6.999999999999999929e-04,-5.999999999999999778e-02
7.667712000000000139e-03,6.999999999999999929e-04,-5.999999999999999778e-02
7.733248000000000726e-03,6.999999999999999929e-04,-5.999999999999999778e-02
7.798784000000000445e-03,6.999999999999999929e-04,-5.999999999999999778e-02
7.864320000000001032e-03,6.999999999999999929e-04,-5.999999999999999778e-02
7.929856000000000751e-03,1.049999999999999935e-03,-5.999999999999999778e-02
7.995392000000000471e-03,1.049999999999999935e-03,-5.999999999999999778e-02
8.060928000000000190e-03,6.999999999999999929e-04,-5.999999999999999778e-02
8.126463999999999910e-03,6.999999999999999929e-04,-5.999999999999999778e-02
8.192000000000001364e-03,1.049999999999999935e-03,-5.999999999999999778e-02
8.257536000000001083e-03,1.399999999999999986e-03,-5.750000000000000250e-02
8.323072000000000803e-03,1.749999999999999820e-03,-5.750000000000000250e-02
8.388608000000000522e-03,1.749999999999999820e-03,-5.750000000000000250e-02
8.454144000000000242e-03,1.749999999999999820e-03,-5.750000000000000250e-02
8.519679999999999961e-03,1.749999999999999820e-03,-5.750000000000000250e-02
8.585215999999999681e-03,1.749999999999999820e-03,-5.750000000000000250e-02
8.650752000000001135e-03,1.749999999999999820e-03,-5.750000000000000250e-02
